"Title:","ACT Composite 25th Percentile Score from the Test Scores - Postsecondary Education Database"
"SubTitle:",""
"Time:","2006 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"University of Kansas - Kansas",22,22,23,23,23,22,22,22,22,22,22,22,22,22
"Dordt University - Iowa",22,21,22,22,22,22,21,21,21,21,22,22,21,22
"Virginia Military Institute - Virginia",22,21,24,23,23,23,23,22,23,22,22,21,21,21
"University of Kentucky - Kentucky",22,22,23,22,22,22,22,22,23,22,22,21,21,22
"Bradley University - Illinois",22,22,23,22,22,23,23,23,23,22,22,22,23,23
"Saint John Fisher College - New York",22,21,22,22,22,21,23,22,22,22,22,22,22,21
"Saint Francis University - Pennsylvania",22,20,20,21,20,21,20,20,20,20,21,21,19,20
"SUNY Cortland - New York",22,21,22,22,22,,,21,22,20,20,20,,
"Saint Mary's College - Indiana",22,23,22,23,22,22,23,23,23,22,23,23,22,23
"University of Hartford - Connecticut",22,22,22,21,20,20,19,20,,,19,20,16,20
"SUNY at Albany - New York",22,22,22,22,22,22,22,22,22,22,22,22,21,21
"American International College - Massachusetts",22,,16,17,16,17,17,16,16,16,16,16,17,17
"Saint Norbert College - Wisconsin",22,21,22,22,22,22,22,22,22,22,21,22,22,22
"CUNY Brooklyn College - New York",22,,,,,,,,,,,,,
"University of Detroit Mercy - Michigan",22,21,21,22,22,22,22,22,22,22,21,21,20,19
"CUNY Queens College - New York",22,,,,,,,,,,,,,
"University of North Carolina at Charlotte - North Carolina",22,22,22,22,22,22,21,20,20,20,20,19,19,19
"Biola University - California",22,21,21,21,21,21,22,22,21,21,21,21,21,21
"University of New Haven - Connecticut",22,21,20,21,20,21,21,20,20,20,19,,,
"Principia College - Illinois",22,22,22,20,22,21,20,20,20,21,21,21,22,21
"New Saint Andrews College - Idaho",21,,23,,23,,,22,25,24,23,25,22,24
"Montana Technological University - Montana",21,21,22,22,22,23,22,21,22,21,21,,19,
"Carroll University - Wisconsin",21,21,21,21,21,21,21,21,21,20,21,20,21,20
"Murray State University - Kentucky",21,21,21,21,21,20,20,19,19,19,19,20,19,19
"The University of West Florida - Florida",21,22,22,22,21,20,21,21,20,21,20,21,21,21
"Martin Luther College - Minnesota",21,22,21,21,21,22,22,22,22,22,22,22,22,23
"Southeast Missouri Hospital College of Nursing and Health Sciences - Missouri",21,21,20,21,1,21,,1,,,,,,
"Boise State University - Idaho",21,20,21,21,20,20,20,20,20,20,19,19,19,17
"Montana State University - Montana",21,21,21,21,21,21,21,21,21,21,21,21,21,20
"Nebraska Methodist College of Nursing & Allied Health - Nebraska",21,20,21,21,21,22,21,21,21,20,19,19,19,20
"Mississippi College - Mississippi",21,22,21,22,21,21,21,21,20,21,20,20,21,20
"Monmouth University - New Jersey",21,21,19,19,21,20,22,22,22,22,22,22,21,20
"SUNY Maritime College - New York",21,22,22,22,23,22,22,20,22,20,20,19,18,
"The College of Idaho - Idaho",21,,,,,,21,21,22,22,22,22,21,22
"Warren Wilson College - North Carolina",21,21,21,25,,21,23,23,23,22,23,,,22
"Bellarmine University - Kentucky",21,22,22,22,22,22,22,22,22,22,22,22,22,22
"Molloy College - New York",21,22,22,21,21,21,22,20,23,22,,,19,
"Bethel University - Minnesota",21,21,22,21,21,22,22,22,22,22,21,22,22,21
"Baldwin Wallace University - Ohio",21,21,21,,,,,21,21,21,21,21,21,21
"Canisius College - New York",21,20,21,22,22,21,21,22,21,22,22,22,21,21
"The University of Texas at Arlington - Texas",21,20,20,20,20,20,20,20,20,20,19,20,20,20
"Tennessee Technological University - Tennessee",21,21,21,21,21,21,21,20,21,20,20,20,20,20
"The University of Tennessee-Chattanooga - Tennessee",21,21,21,21,21,21,21,21,21,21,20,18,19,19
"Benedictine College - Kansas",21,21,21,22,21,21,22,22,21,21,21,21,20,20
"University of Wyoming - Wyoming",21,22,22,22,21,22,22,22,22,21,21,21,21,20
"Liberty University - Virginia",21,21,21,21,21,20,19,19,,,,18,18,18
"Southern Utah University - Utah",21,20,21,20,20,20,20,20,20,19,18,18,18,18
"Loyola University New Orleans - Louisiana",21,22,22,22,23,22,22,22,22,23,24,23,23,23
"Missouri State University-Springfield - Missouri",21,21,21,21,21,21,21,21,21,21,21,21,21,21
"Lewis University - Illinois",21,21,21,21,21,20,21,21,20,20,20,19,19,20
"North Central College - Illinois",21,21,21,22,22,22,22,22,22,22,22,22,22,22
"Southern Virginia University - Virginia",21,19,20,14,16,19,20,17,20,20,20,20,20,20
"Virginia Commonwealth University - Virginia",21,21,21,21,21,21,21,21,21,20,20,19,19,19
"University of Wisconsin-Eau Claire - Wisconsin",21,21,21,21,22,22,22,22,22,22,23,23,22,22
"The University of Tennessee-Martin - Tennessee",21,21,21,20,20,20,20,20,19,20,20,20,19,19
"Lee University - Tennessee",21,21,21,21,21,21,21,21,21,21,20,20,20,20
"Southern Illinois University-Edwardsville - Illinois",21,20,21,20,20,20,20,20,20,19,20,20,20,19
"Berea College - Kentucky",21,23,22,22,22,22,22,22,22,22,21,21,21,21
"Bellin College - Wisconsin",21,21,22,21,22,22,22,22,23,22,21,22,23,22
"Le Moyne College - New York",21,22,23,22,22,21,21,21,21,20,20,21,20,21
"Springfield College - Massachusetts",21,20,22,25,24,20,18,20,,,,,,
"Utah State University - Utah",21,21,21,21,20,20,20,20,20,20,21,20,21,21
"St Bonaventure University - New York",21,19,22,21,20,21,21,21,21,20,20,20,19,20
"Brigham Young University-Hawaii - Hawaii",21,22,21,22,22,22,22,21,21,22,22,21,20,20
"Christian Brothers University - Tennessee",21,22,21,21,22,21,21,21,21,21,22,21,22,21
"Abilene Christian University - Texas",21,21,21,21,21,22,21,21,22,22,21,21,20,20
"University of Missouri-St Louis - Missouri",21,21,21,22,21,21,21,21,22,21,20,21,21,21
"Worcester State University - Massachusetts",21,,,,21,20,19,20,19,19,19,18,20,18
"Asbury University - Kentucky",21,21,,21,21,21,22,21,22,21,21,21,21,21
"Wisconsin Lutheran College - Wisconsin",21,21,20,20,21,21,21,21,21,21,21,21,22,21
"University of Louisville - Kentucky",21,22,22,22,22,22,22,22,21,21,21,21,21,21
"Regis University - Colorado",21,21,21,20,22,21,22,21,21,22,22,21,18,21
"Regent University - Virginia",21,19,19,19,19,20,20,19,20,20,16,,,
"Ouachita Baptist University - Arkansas",21,21,21,21,21,21,21,21,21,21,21,21,21,21
"Florida Atlantic University - Florida",21,22,21,21,20,20,21,20,21,21,21,20,19,19
"Florida Gulf Coast University - Florida",21,21,21,21,22,22,21,20,20,20,20,20,20,19
"Drury University - Missouri",21,22,22,23,22,23,23,22,21,19,20,20,23,23
"Harding University - Arkansas",21,21,22,22,22,22,22,22,22,22,21,22,21,20
"Hollins University - Virginia",21,22,24,23,23,21,20,21,21,21,22,22,20,21
"Arizona State University Campus Immersion - Arizona",21,22,22,22,22,23,22,22,21,21,20,20,20,20
"Randolph-Macon College - Virginia",21,20,20,21,22,22,21,21,21,22,,,19,18
"University of Colorado Denver/Anschutz Medical Campus - Colorado",21,20,21,21,21,20,20,20,20,20,20,19,19,20
"University of Connecticut-Stamford - Connecticut",21,21,21,20,22,19,21,17,22,18,19,19,,20
"University of Illinois Chicago - Illinois",21,21,21,20,21,21,22,21,21,21,21,21,21,21
"Ramapo College of New Jersey - New Jersey",21,20,21,21,21,20,19,20,,,,,,
"Andrews University - Michigan",21,21,21,21,21,20,20,20,20,20,20,19,20,20
"Alfred University - New York",21,19,20,21,20,21,21,22,21,21,22,21,22,21
"Saint Mary's College of California - California",21,22,22,22,22,22,22,22,22,22,20,,,
"Freed-Hardeman University - Tennessee",21,21,21,22,21,21,22,21,21,19,20,19,20,20
"CUNY John Jay College of Criminal Justice - New York",21,,,,,,,,,,,,,
"University of North Carolina at Asheville - North Carolina",21,22,21,22,23,23,24,24,24,22,21,22,22,22
"University of Hawaii at Manoa - Hawaii",21,21,21,21,20,20,20,21,21,21,21,21,21,21
"Dominican University of California - California",21,20,20,20,21,21,20,20,21,22,20,20,18,18
"University of Pittsburgh-Johnstown - Pennsylvania",21,19,21,20,20,20,19,20,20,19,19,18,17,18
"Oregon State University - Oregon",21,21,22,22,22,21,21,21,21,21,20,20,20,20
"Iowa State University - Iowa",21,22,22,22,22,22,21,22,22,22,22,22,22,22
"Citadel Military College of South Carolina - South Carolina",21,20,20,20,20,21,20,21,21,20,19,20,20,20
"AdventHealth University - Florida",21,18,18,19,18,18,18,17,16,17,,,,
"University of Minnesota-Morris - Minnesota",21,21,22,22,22,22,22,23,23,23,22,22,22,21
"University of Minnesota-Duluth - Minnesota",21,21,21,22,22,22,22,22,22,22,21,21,21,21
"College of the Ozarks - Missouri",21,21,21,21,21,21,21,20,21,21,20,20,21,21
"Iona College - New York",21,20,20,20,20,20,20,20,20,19,,,,
"Indiana Wesleyan University-Marion - Indiana",21,20,21,21,21,21,21,21,21,21,21,21,21,21
"Roanoke College - Virginia",21,21,22,22,21,21,20,21,20,21,20,20,20,
"Oklahoma State University-Main Campus - Oklahoma",21,22,22,22,21,22,22,22,22,22,22,22,22,22
"Adelphi University - New York",21,21,22,22,22,19,19,19,22,21,20,20,20,20
"University of Arizona - Arizona",21,21,21,,,,,21,21,21,21,21,21,20
"Simpson University - California",21,17,19,18,18,18,19,21,19,20,18,19,20,18
"University of St Francis - Illinois",21,20,20,20,20,21,21,21,21,21,21,20,20,20
"College of Charleston - South Carolina",21,22,22,22,22,23,23,23,22,22,23,21,23,22
"Illinois State University - Illinois",21,20,20,21,21,21,22,22,22,22,22,22,22,22
"College of Our Lady of the Elms - Massachusetts",21,18,18,17,19,19,15,16,18,17,16,17,19,16
"College of Saint Benedict - Minnesota",21,22,22,22,22,22,23,23,23,23,23,23,23,23
"Whitworth University - Washington",21,21,21,23,22,,,,,,24,25,25,23
"Ave Maria University - Florida",21,20,21,21,21,21,20,20,20,21,21,22,22,23
"Kentucky Mountain Bible College - Kentucky",21,18,15,17,19,18,19,16,17,17,18,15,,17
"Ohio University-Main Campus - Ohio",21,21,21,22,21,22,22,22,21,21,21,21,21,21
"Suffolk University - Massachusetts",21,21,21,21,20,20,21,20,19,21,19,20,20,
"Saint Ambrose University - Iowa",20,20,20,21,20,20,20,20,20,20,20,20,19,19
"Rockhurst University - Missouri",20,21,22,22,23,23,23,23,23,22,22,22,22,22
"Xavier University of Louisiana - Louisiana",20,20,20,20,20,20,20,20,19,19,18,18,18,18
"St. Mary's University - Texas",20,21,21,20,19,20,20,21,20,20,20,20,19,20
"Wayne State University - Michigan",20,21,21,21,20,20,20,19,18,18,17,17,17,17
"Stockton University - New Jersey",20,20,18,19,19,19,18,20,19,19,19,18,21,21
"Monmouth College - Illinois",20,19,20,20,19,20,19,20,18,19,20,20,20,20
"Stephens College - Missouri",20,20,20,19,20,20,20,19,19,21,19,20,21,21
"Rider University - New Jersey",20,19,20,19,19,19,19,19,20,19,19,19,20,8
"Mount Saint Joseph University - Ohio",20,20,20,20,19,,19,19,20,20,19,19,19,19
"Washington State University - Washington",20,20,20,20,20,20,19,19,20,20,21,21,21,
"Saint Joseph's College of Maine - Maine",20,19,18,,20,21,,,,17,,,,
"Mount Saint Mary College - New York",20,19,20,19,20,20,20,20,19,19,19,18,19,18
"Arcadia University - Pennsylvania",20,21,21,22,23,22,22,22,22,22,21,20,20,21
"Webster University - Missouri",20,21,21,21,21,21,21,21,21,21,20,21,21,21
"Western Carolina University - North Carolina",20,20,20,19,20,20,20,20,19,19,19,18,18,18
"Western Colorado University - Colorado",20,20,19,20,19,17,19,19,19,19,19,19,19,18
"Wichita State University - Kansas",20,20,20,20,21,21,,21,20,21,21,21,21,20
"North Dakota State University-Main Campus - North Dakota",20,21,21,21,21,21,21,21,20,21,20,20,20,20
"Oregon Institute of Technology - Oregon",20,20,20,21,21,19,21,20,,,,,,
"Simpson College - Iowa",20,19,20,21,21,21,22,21,21,21,21,22,22,22
"Spelman College - Georgia",20,22,22,22,22,20,19,20,20,20,20,21,20,21
"Southern Illinois University-Carbondale - Illinois",20,21,20,20,19,19,19,19,18,18,19,19,19,19
"Western Michigan University - Michigan",20,19,20,20,19,19,19,19,19,20,20,20,20,20
"Oklahoma Christian University - Oklahoma",20,21,20,20,21,21,22,22,21,20,20,19,19,20
"Northland College - Wisconsin",20,,,,,21,21,21,21,20,20,21,21,21
"Northwestern College - Iowa",20,21,21,21,21,22,21,21,22,22,21,22,22,21
"Oklahoma Baptist University - Oklahoma",20,20,20,20,20,20,22,21,21,21,21,20,21,19
"South Dakota State University - South Dakota",20,19,20,20,20,20,20,20,20,19,20,20,20,20
"Northern Kentucky University - Kentucky",20,20,20,20,20,20,20,19,19,19,19,19,19,18
"Queens University of Charlotte - North Carolina",20,21,21,21,21,21,20,21,20,20,20,20,19,20
"Otterbein University - Ohio",20,20,21,21,21,22,21,21,21,21,20,20,20,20
"Spring Hill College - Alabama",20,20,20,21,22,22,22,21,21,21,21,21,21,21
"William Jewell College - Missouri",20,22,22,23,22,23,22,22,22,23,23,23,22,22
"William Carey University - Mississippi",20,20,21,21,21,20,20,20,20,21,21,20,19,19
"Presbyterian College - South Carolina",20,19,19,21,21,20,21,22,22,21,21,21,22,21
"Saint Vincent College - Pennsylvania",20,20,18,20,20,20,19,20,20,20,20,19,20,20
"Wilkes University - Pennsylvania",20,20,21,21,20,,,,,,,,,
"Aquinas College - Michigan",20,20,21,21,21,21,21,21,21,21,20,20,20,20
"Spring Arbor University - Michigan",20,20,20,20,19,20,19,20,20,20,20,20,19,20
"West Chester University of Pennsylvania - Pennsylvania",20,20,21,21,21,21,22,,,,,,,
"Widener University - Pennsylvania",20,20,20,20,21,21,19,,,,,,,
"Palm Beach Atlantic University - Florida",20,20,20,20,21,20,21,20,20,21,20,19,21,21
"Becker College - Massachusetts",20,16,20,20,21,19,21,19,18,16,15,13,13,
"Arkansas State University - Arkansas",20,21,21,21,21,21,21,21,20,20,18,18,18,18
"Seattle Pacific University - Washington",20,19,20,21,21,23,22,23,22,22,22,22,22,22
"Niagara University - New York",20,20,22,21,21,20,20,21,20,21,19,19,19,19
"Oakland University - Michigan",20,20,21,21,20,20,20,20,20,19,19,19,19,19
"Nova Southeastern University - Florida",20,20,22,23,22,22,22,21,20,20,19,19,19,19
"California Lutheran University - California",20,21,21,21,22,22,22,22,22,22,22,22,21,20
"Kent State University at Kent - Ohio",20,20,20,21,21,21,20,20,20,20,19,19,18,18
"Hampden-Sydney College - Virginia",20,20,21,21,21,21,21,22,21,21,21,20,20,20
"University of North Texas - Texas",20,21,21,21,21,21,21,21,21,21,20,21,21,21
"Hartwick College - New York",20,20,21,21,19,,,23,24,23,23,22,21,
"Concordia University-Wisconsin - Wisconsin",20,21,20,20,21,20,21,20,20,20,19,20,19,19
"Concordia University-Nebraska - Nebraska",20,20,20,21,20,20,20,21,21,21,21,21,21,20
"Concordia University-Irvine - California",20,18,20,20,20,20,19,20,19,19,19,19,20,19
"University of Northern Iowa - Iowa",20,20,21,21,20,20,20,20,21,21,21,21,21,21
"University of Central Arkansas - Arkansas",20,21,21,21,20,20,19,20,20,20,20,20,20,19
"Concordia College at Moorhead - Minnesota",20,21,21,22,,,23,22,22,22,22,22,22,21
"University of Pittsburgh-Greensburg - Pennsylvania",20,20,21,19,20,20,18,20,20,18,19,20,17,15
"Houston Baptist University - Texas",20,19,20,20,21,20,20,21,21,22,20,20,19,23
"University of South Alabama - Alabama",20,20,21,20,20,20,20,20,20,19,18,19,19,19
"University of South Dakota - South Dakota",20,19,20,20,20,20,20,21,21,20,20,20,19,20
"University of Southern Maine - Maine",20,20,19,19,19,19,20,20,19,19,18,18,19,18
"Central Michigan University - Michigan",20,20,20,20,20,20,20,20,20,20,20,20,20,19
"SUNY at Fredonia - New York",20,19,21,21,22,21,22,21,21,22,21,21,21,22
"Trinity Christian College - Illinois",20,20,19,19,20,21,20,20,18,20,17,19,19,19
"Trine University - Indiana",20,22,21,22,20,21,21,21,20,20,21,21,21,20
"Trevecca Nazarene University - Tennessee",20,20,19,19,19,19,20,19,19,19,19,19,19,19
"University of Toledo - Ohio",20,20,20,20,20,20,19,19,,,,,,
"Keystone College - Pennsylvania",20,14,,,16,16,17,17,17,15,17,15,16,16
"Towson University - Maryland",20,20,20,21,21,21,21,21,21,21,21,20,,
"Thomas Jefferson University - Pennsylvania",20,21,22,,,,,,,,,,,
"Hamline University - Minnesota",20,19,20,20,21,21,21,21,21,21,21,20,21,21
"Carthage College - Wisconsin",20,21,21,21,21,22,21,21,22,22,21,21,20,21
"University of North Florida - Florida",20,20,21,21,21,22,22,23,23,23,21,22,20,20
"University of Connecticut-Avery Point - Connecticut",20,20,21,18,19,21,21,22,19,21,19,16,17,21
"Eastern University - Pennsylvania",20,20,17,20,19,18,20,18,18,19,19,19,15,19
"University of Minnesota-Rochester - Minnesota",20,22,22,22,22,22,22,23,22,22,22,,,
"University of Massachusetts-Dartmouth - Massachusetts",20,18,19,19,20,19,19,21,20,20,,20,20,20
"East Tennessee State University - Tennessee",20,20,20,19,20,20,19,19,19,19,19,20,20,20
"University of Missouri-Kansas City - Missouri",20,21,21,21,21,21,21,21,20,20,21,21,21,20
"Faith Baptist Bible College and Theological Seminary - Iowa",20,,18,20,20,20,19,19,19,19,20,19,18,20
"University of Mary - North Dakota",20,21,20,21,20,20,20,20,20,20,20,20,19,19
"University of Louisiana at Monroe - Louisiana",20,19,20,20,20,20,19,20,20,19,20,19,19,19
"Fisk University - Tennessee",20,18,17,16,17,17,17,17,17,18,18,17,20,19
"University of Louisiana at Lafayette - Louisiana",20,21,21,21,21,21,21,21,21,20,20,20,20,19
"Florida Agricultural and Mechanical University - Florida",20,19,19,18,19,18,18,18,18,18,17,,,17
"Franciscan Missionaries of Our Lady University - Louisiana",20,20,20,20,20,20,20,20,20,19,19,20,,
"University of Idaho - Idaho",20,20,20,20,21,20,20,20,20,20,20,20,20,20
"Gannon University - Pennsylvania",20,19,20,20,20,20,20,20,19,20,19,19,19,18
"University of Nevada-Reno - Nevada",20,21,21,21,21,21,21,21,21,20,20,20,20,20
"Dallas Baptist University - Texas",20,21,20,19,19,19,18,18,19,20,18,19,19,19
"Georgia State University - Georgia",20,20,21,19,20,20,20,20,21,21,20,21,20,20
"Good Samaritan College of Nursing and Health Science - Ohio",20,2,19,18,19,18,18,19,20,21,19,18,18,18
"Gordon College - Massachusetts",20,21,22,22,22,23,23,22,23,22,24,23,22,23
"Goshen College - Indiana",20,21,20,19,22,21,21,21,21,22,21,22,22,22
"Grace College and Theological Seminary - Indiana",20,,20,20,21,21,21,20,21,20,21,21,21,22
"Rowan University - New Jersey",20,21,20,22,22,,22,,,,,,,
"University of Connecticut-Hartford Campus - Connecticut",20,21,20,19,,,,,,,,,,
"University of North Dakota - North Dakota",20,20,21,21,21,21,21,21,21,21,20,21,20,21
"The University of Texas at Tyler - Texas",20,21,21,21,20,20,20,21,21,20,20,20,20,20
"Elmhurst University - Illinois",20,20,20,20,20,21,21,21,21,21,21,21,21,22
"University of Washington-Bothell Campus - Washington",20,19,19,19,20,19,18,19,19,19,20,20,20,
"SUNY Polytechnic Institute - New York",20,20,20,20,24,23,22,22,20,21,22,20,20,22
"California State University-Long Beach - California",20,20,20,20,20,20,20,18,18,18,18,17,18,18
"Marymount University - Virginia",20,16,16,19,18,19,18,20,19,19,18,19,18,19
"Virginia Wesleyan University - Virginia",20,20,21,19,17,17,18,18,19,19,18,18,17,17
"University of Wisconsin-Stout - Wisconsin",20,19,20,19,19,20,20,20,20,20,19,19,19,19
"MCPHS University - Massachusetts",20,20,22,22,21,21,20,21,22,22,20,21,20,19
"Louisiana State University-Shreveport - Louisiana",20,20,20,19,20,20,20,20,20,20,20,,20,19
"The Evergreen State College - Washington",20,19,,19,20,20,19,20,21,21,20,22,21,21
"Bowling Green State University-Main Campus - Ohio",20,19,19,19,19,19,19,19,19,19,19,19,19,19
"Elizabethtown College - Pennsylvania",20,21,21,22,21,23,22,21,21,21,20,21,,
"McNeese State University - Louisiana",20,20,20,20,20,20,20,20,20,20,19,18,19,18
"Sweet Briar College - Virginia",20,21,20,20,18,22,21,21,22,22,20,20,21,21
"Maranatha Baptist University - Wisconsin",20,19,20,20,,,,20,20,19,20,19,19,
"Texas State University - Texas",20,19,20,20,20,21,20,21,21,21,21,21,21,21
"Marietta College - Ohio",20,19,20,20,21,21,21,21,21,21,21,20,20,20
"Massachusetts Maritime Academy - Massachusetts",20,19,20,21,20,20,20,20,20,22,21,18,17,17
"Brigham Young University-Idaho - Idaho",20,19,20,20,20,20,20,20,20,20,20,20,21,20
"Marymount Manhattan College - New York",20,20,21,21,22,20,21,21,21,21,21,21,19,20
"Lycoming College - Pennsylvania",20,19,19,21,20,20,19,21,20,20,20,20,21,20
"University of Wisconsin-Platteville - Wisconsin",20,20,20,21,21,21,21,20,20,20,20,20,19,20
"Maryville College - Tennessee",20,21,21,20,21,20,20,21,20,22,21,21,21,22
"The University of Montana - Montana",20,20,20,21,20,20,20,21,21,21,20,20,20,20
"Linfield University-McMinnville Campus - Oregon",20,20,20,20,20,20,21,21,21,22,21,21,21,23
"The University of Findlay - Ohio",20,21,21,21,20,20,20,21,21,21,20,20,20,20
"Mills College - California",20,19,21,,23,24,23,23,23,24,22,20,21,20
"SUNY Brockport - New York",20,19,20,20,20,20,21,21,21,21,21,21,21,20
"Lebanon Valley College - Pennsylvania",20,21,22,22,21,,,22,20,,,,,21
"Boise Bible College - Idaho",20,17,19,20,17,18,18,17,18,17,17,18,17,16
"Middle Tennessee State University - Tennessee",20,20,20,20,19,19,19,19,19,19,20,19,19,19
"SUNY College at Oswego - New York",20,21,21,22,22,22,22,22,22,21,21,21,21,21
"Viterbo University - Wisconsin",20,21,21,21,20,21,21,21,21,21,20,20,20,19
"Lasell University - Massachusetts",20,20,16,19,19,18,18,18,19,18,18,19,19,20
"Millikin University - Illinois",20,19,20,19,19,20,19,21,20,20,20,20,20,20
"Waynesburg University - Pennsylvania",19,18,19,18,19,20,20,20,20,20,,,,
"University of Michigan-Flint - Michigan",19,20,19,20,19,18,18,18,19,20,18,18,19,19
"University of North Carolina at Greensboro - North Carolina",19,20,20,20,21,20,21,21,20,19,19,19,18,19
"York College of Pennsylvania - Pennsylvania",19,19,21,20,20,20,20,20,20,20,20,21,19,
"Tennessee Wesleyan University - Tennessee",19,19,19,18,19,19,18,19,18,19,19,19,19,18
"Saginaw Valley State University - Michigan",19,19,19,20,20,19,19,18,18,18,18,18,18,18
"Winthrop University - South Carolina",19,18,20,19,20,20,19,19,20,20,20,20,20,20
"University of Memphis - Tennessee",19,19,19,19,18,19,19,19,20,19,19,19,19,19
"University of Nevada-Las Vegas - Nevada",19,19,19,19,19,18,19,19,18,19,19,19,19,18
"Winona State University - Minnesota",19,19,20,20,20,20,20,21,21,21,21,21,21,21
"University of Houston-Clear Lake - Texas",19,18,20,20,20,19,19,,,,,,,
"Walsh University - Ohio",19,19,19,20,19,,20,20,20,20,19,19,19,19
"University of Montevallo - Alabama",19,20,20,20,20,20,20,20,20,20,20,18,19,19
"University of Illinois Springfield - Illinois",19,19,20,20,20,20,20,20,20,20,20,20,20,19
"University of Nebraska at Kearney - Nebraska",19,20,19,19,19,20,20,20,20,20,20,20,19,20
"University of Mary Hardin-Baylor - Texas",19,19,20,19,21,20,21,21,19,20,20,20,20,20
"SUNY Oneonta - New York",19,21,21,21,22,22,22,22,22,22,22,22,21,21
"St. Thomas Aquinas College - New York",19,17,18,17,17,18,18,17,18,18,17,16,17,17
"University of Mount Union - Ohio",19,20,20,20,20,21,21,20,20,20,19,19,19,20
"Texas Wesleyan University - Texas",19,19,20,20,19,19,19,19,19,19,18,16,16,16
"Texas Lutheran University - Texas",19,20,19,19,18,19,19,20,18,19,18,18,19,19
"Southern Arkansas University Main Campus - Arkansas",19,18,19,19,18,18,18,18,18,18,18,17,17,17
"Southern Adventist University - Tennessee",19,,,,,,,20,20,19,19,19,19,19
"Southeastern University - Florida",19,19,18,18,18,17,18,17,,,,,,
"Southeastern Louisiana University - Louisiana",19,19,19,19,19,20,20,20,19,20,19,19,19,19
"Western Kentucky University - Kentucky",19,19,20,19,19,19,19,18,18,18,18,,18,
"University of Wisconsin-Milwaukee - Wisconsin",19,19,19,20,20,20,19,20,19,19,20,19,20,20
"Westfield State University - Massachusetts",19,18,20,20,19,19,18,17,20,19,19,18,18,19
"Westminster College - Missouri",19,20,20,21,21,21,22,21,21,22,21,23,23,22
"Slippery Rock University of Pennsylvania - Pennsylvania",19,19,19,19,19,19,19,19,18,19,19,19,18,18
"University of Wisconsin-Oshkosh - Wisconsin",19,19,19,20,20,20,20,20,20,20,20,20,20,20
"Southwest Baptist University - Missouri",19,19,18,20,19,20,20,20,19,20,20,20,20,20
"The Southern Baptist Theological Seminary - Kentucky",19,19,19,19,18,20,,,,,,,,
"Trinity International University-Illinois - Illinois",19,18,20,20,20,19,20,20,20,19,19,19,20,20
"University of the Cumberlands - Kentucky",19,18,20,19,19,19,20,19,19,19,19,18,19,19
"University of Southern Mississippi - Mississippi",19,19,19,19,20,19,19,20,19,19,18,19,19,18
"University of Southern Indiana - Indiana",19,19,19,19,19,19,19,19,19,18,18,18,17,17
"University of Wisconsin-River Falls - Wisconsin",19,20,20,20,20,20,20,20,20,20,20,20,19,20
"The University of Texas at San Antonio - Texas",19,19,20,20,20,20,19,20,20,19,19,18,18,18
"University of North Georgia - Georgia",19,19,20,20,19,19,19,18,,,,,,
"St Catherine University - Minnesota",19,23,19,20,19,19,19,20,22,22,21,19,20,19
"University of Northern Colorado - Colorado",19,19,19,19,19,19,19,20,20,19,20,20,20,20
"The Christ College of Nursing and Health Sciences - Ohio",19,20,19,20,20,19,18,18,18,18,18,17,20,19
"Valdosta State University - Georgia",19,19,19,19,19,19,20,20,20,20,20,20,20,19
"San Jose State University - California",19,18,19,19,20,20,19,19,18,19,18,18,18,17
"University of Wisconsin-Whitewater - Wisconsin",19,19,19,20,20,20,20,20,20,20,20,20,20,20
"Shenandoah University - Virginia",19,18,21,20,19,19,18,19,19,19,18,17,17,17
"University of Wisconsin-Stevens Point - Wisconsin",19,19,19,20,20,20,20,21,21,21,21,21,20,20
"University of California-Merced - California",19,19,19,20,19,20,20,18,18,18,18,18,18,18
"University of Saint Francis-Fort Wayne - Indiana",19,18,18,19,19,18,19,19,19,18,19,19,19,18
"University of Baltimore - Maryland",19,17,21,16,20,18,,,,16,1,16,,
"University of Akron Main Campus - Ohio",19,19,19,19,19,19,19,18,18,,,,,
"University of Central Missouri - Missouri",19,19,19,19,20,19,19,18,18,19,18,20,20,20
"Wartburg College - Iowa",19,21,20,21,21,21,21,21,21,21,21,21,21,21
"University of Jamestown - North Dakota",19,19,19,19,20,18,25,21,20,20,20,20,19,20
"Nicholls State University - Louisiana",19,20,20,20,20,20,20,20,19,20,19,20,19,18
"Eastern Kentucky University - Kentucky",19,20,20,20,20,19,19,19,19,18,18,18,18,19
"East Carolina University - North Carolina",19,20,20,20,20,21,20,21,20,20,19,19,18,18
"Dominican University - Illinois",19,19,19,20,20,19,20,20,20,20,20,19,20,20
"Dakota State University - South Dakota",19,19,20,19,19,20,19,19,19,18,19,18,19,19
"D'Youville College - New York",19,19,14,20,16,21,21,20,21,21,20,20,20,18
"Mount St. Mary's University - Maryland",19,19,18,19,19,18,20,17,19,19,21,,,
"Mount Vernon Nazarene University - Ohio",19,20,20,19,20,20,20,20,20,20,19,23,20,19
"Cottey College - Missouri",19,19,19,19,21,20,19,19,20,19,20,19,20,20
"Lake Superior State University - Michigan",19,19,19,19,20,19,19,20,20,20,19,19,18,18
"Cornerstone University - Michigan",19,19,19,19,18,19,20,21,20,21,20,20,20,20
"Concordia University-Chicago - Illinois",19,20,20,20,19,20,20,20,19,19,19,19,19,19
